area,item,year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
73,7,2007,494.0,5935.96,25.16
61,3,2013,2041.0,671.77,24.31
18,1,2011,1604.0,1372.47,25.25
14,6,2002,1761.0,119166.69999999998,25.18
79,1,2007,637.0,6314.0,12.99
10,8,2010,2666.0,13283.72,26.65
5,7,2000,534.0,33475.0,14.32
33,1,1990,700.0,31289.0,10.08
48,8,1994,1668.0,79821.18,16.41
94,8,2012,593.0,42610.59,14.97
100,6,2013,657.0,2550.07,19.76
85,8,1998,636.0,35070.0,17.46
93,3,2005,207.0,584.49,19.12
94,1,2012,593.0,42610.59,14.97
3,1,2009,591.0,61586.56,18.09
73,4,1997,494.0,16936.0,26.29
48,4,2007,1668.0,61164.07,16.53
25,7,2007,1410.0,5689.8,27.12
48,8,1996,1668.0,79821.18,15.32
42,8,2008,1083.0,14485.33,25.23
42,1,2009,1083.0,28707.01,25.38
57,6,2005,1181.0,295.51,21.37
5,1,1990,534.0,17866.0,18.05
30,8,1997,626.0,200.0,5.95
42,4,2010,1083.0,40093.69,26.93
85,3,2002,636.0,40727.0,17.16
94,4,2000,593.0,33471.0,17.97
10,5,1991,2666.0,1287.0,25.85
75,5,2004,1738.0,8941.22,17.29
26,4,1994,2274.0,2670.0,17.4
14,7,1996,1761.0,101621.67,24.28
43,1,2008,2702.0,1597.0,27.18
97,8,1993,1220.0,32387.0,9.69
94,8,1995,593.0,27328.0,17.64
42,8,2006,1083.0,37423.0,27.15
25,2,2005,1410.0,3515.56,27.03
5,5,2000,534.0,33475.0,19.89
73,1,1999,494.0,20450.0,23.8
22,4,2008,3240.0,48538.97,22.07
33,6,1996,700.0,31683.0,7.88
49,3,1999,250.0,4720.28,7.09
14,5,1998,1761.0,118930.56,24.78
14,4,2006,1761.0,119166.69999999998,24.57
19,3,1992,537.0,29387.0,3.69
26,4,1994,2274.0,2670.0,21.46
42,7,1993,1083.0,66388.0,25.06
73,3,1993,494.0,4945.0,26.51
74,7,2009,3142.0,105.0,25.08
42,8,1995,1083.0,61257.0,25.92
88,1,1991,2331.0,207.0,26.93
3,0,1995,591.0,37842.0,17.74
17,8,1996,1274.0,207.1,21.18
40,7,1992,1976.0,9904.59,24.77
14,0,2000,1761.0,119166.69999999998,21.69
42,5,2004,1083.0,35113.0,25.98
96,8,1995,565.0,51986.39,8.26
73,1,2002,494.0,10881.83,25.61
22,6,1990,3240.0,18058.29,22.4
62,7,1996,758.0,34468.93,25.06
10,1,2011,2666.0,14798.28,25.8
43,3,1999,2702.0,1597.0,25.26
42,7,2012,1083.0,52980.0,25.82
87,4,2012,1712.0,2469.47,26.42
73,1,1991,494.0,5962.0,22.48
78,8,1998,74.0,37.0,28.48
44,4,2005,216.0,873.01,23.58
95,3,2000,1180.0,88.0,23.75
62,0,2004,758.0,26433.14,24.92
42,6,1992,1083.0,70791.0,24.62
42,4,1996,1083.0,56114.0,23.81
42,5,2010,1083.0,40093.69,26.52
25,4,1995,1410.0,3449.0,26.82
62,1,2009,758.0,61690.08,25.72
42,3,2011,1083.0,55540.0,24.35
49,4,2007,250.0,5575.89,7.78
61,7,2009,2041.0,749.41,24.58
5,8,1994,534.0,21057.0,16.43
67,1,1997,1500.0,80.75,14.5
42,7,2010,1083.0,40093.69,26.52
42,1,2012,1083.0,52980.0,26.65
85,4,2000,636.0,34597.0,17.47
42,1,2013,1083.0,45620.0,26.99
46,8,1993,832.0,89282.2,12.71
14,9,2000,1761.0,119166.69999999998,21.69
59,0,2012,282.0,1.52,27.39
29,3,2010,383.0,27.63,25.22
64,3,2001,346.0,13842.57,18.73
65,8,1996,1032.0,65.85,21.53
64,7,1994,346.0,10992.57,17.88
19,6,1997,537.0,38258.2,8.23
59,0,2013,282.0,1.52,28.53
73,3,2007,494.0,5935.96,23.33
62,7,2002,758.0,16189.88,21.5
42,0,1990,1083.0,75000.0,24.1
73,8,1990,494.0,5299.0,24.81
50,6,2002,630.0,1578.0,16.61
25,7,1999,1410.0,5398.0,26.62
42,3,2009,1083.0,28707.01,26.31
48,9,1991,1668.0,79821.18,15.49
7,4,2006,447.0,148.68,12.66
57,2,2007,1181.0,524.46,20.67
26,1,1994,2274.0,2670.0,21.8
8,1,1997,1292.0,484.59,25.81
57,5,2012,1181.0,775.83,20.42
73,8,1993,494.0,4945.0,25.04
93,3,1991,207.0,909.0,18.41
59,7,1997,282.0,24.28,27.38
96,4,2008,565.0,54080.5,9.24
3,4,1992,591.0,26156.0,17.51
3,1,2008,591.0,87149.01,17.71
83,8,2008,1162.0,1218.15,11.09
26,1,1999,2274.0,14216.0,21.43
42,0,2013,1083.0,45620.0,26.61
69,7,1992,1732.0,3490.0,12.14
57,1,1996,1181.0,173.19,20.47
23,8,1993,1113.0,2675.33,10.19
42,4,1999,1083.0,46195.0,26.85
42,4,2010,1083.0,40093.69,25.71
26,1,2010,2274.0,31637.12,22.3
60,9,2006,92.0,1.7,27.82
3,3,2011,591.0,100424.62,17.58
41,4,2008,589.0,12084.0,11.55
84,1,2000,495.0,26857.0,15.13
26,0,1997,2274.0,7612.0,22.88
42,1,1991,1083.0,72133.0,25.99
73,4,1997,494.0,16936.0,23.76
99,0,1995,1020.0,716.0,21.86
42,6,1994,1083.0,61357.0,25.33
42,4,1993,1083.0,66388.0,25.88
82,7,1991,686.0,384.0,25.0
46,7,1997,832.0,84799.0,8.18
71,7,1995,151.0,62.0,29.56
22,4,1995,3240.0,20156.23,27.3
36,7,2005,1996.0,13506.02,19.99
73,1,2007,494.0,5935.96,25.16
48,7,1998,1668.0,79821.18,16.74
92,0,1996,1622.0,21901.0,27.37
25,4,2010,1410.0,6316.61,27.01
48,6,2012,1668.0,54716.4,13.11
82,1,2005,686.0,465.95,25.78
43,7,1996,2702.0,1597.0,27.53
82,5,2010,686.0,695.86,26.1
49,6,2009,250.0,8716.14,6.77
42,1,2012,1083.0,52980.0,26.04
2,7,2008,1010.0,40.0,24.27
73,3,1995,494.0,7681.0,26.63
27,4,2011,51.0,12945.0,21.99
10,8,2013,2666.0,15330.16,26.59
43,0,1998,2702.0,1597.0,27.72
85,6,2002,636.0,40727.0,12.52
84,1,2012,495.0,26857.0,19.14
93,5,2012,207.0,422.24,20.12
42,5,1993,1083.0,66388.0,26.34
41,3,2006,589.0,11523.0,10.67
42,1,1995,1083.0,61257.0,24.04
42,3,2005,1083.0,35342.0,24.12
42,1,1992,1083.0,70791.0,25.52
14,1,2008,1761.0,119166.69999999998,24.26
14,8,2004,1761.0,119166.69999999998,27.72
14,7,2001,1761.0,119166.69999999998,26.08
5,8,1999,534.0,34200.0,12.1
42,1,2013,1083.0,45620.0,27.37
42,1,2000,1083.0,44957.52,25.58
3,3,2007,591.0,81582.64,17.14
14,8,2012,1761.0,119166.69999999998,27.34
36,8,1992,1996.0,12004.33,19.89
62,3,2001,758.0,31373.3,19.32
42,4,1996,1083.0,56114.0,24.78
97,3,2001,1220.0,32893.1,8.15
14,5,1991,1761.0,58349.44,17.95
43,0,2006,2702.0,1597.0,27.55
79,4,1999,637.0,11280.0,12.34
16,6,2012,748.0,843.0,28.67
48,1,2008,1668.0,58750.0,13.31
37,5,2013,1651.0,877.19,27.29
86,6,1994,1712.0,1860.7,26.34
15,4,1990,608.0,3906.0,9.51
81,8,2008,59.0,4372.61,26.21
40,6,2008,1976.0,5130.42,24.25
14,6,2005,1761.0,119166.69999999998,20.78
14,4,2008,1761.0,119166.69999999998,18.8
62,5,2008,758.0,61732.11,21.02
14,5,1998,1761.0,118930.56,18.2
21,3,1994,1522.0,15373.0,6.7
49,8,2013,250.0,8738.38,8.71
74,1,2000,3142.0,105.0,25.4
14,0,2001,1761.0,119166.69999999998,18.67
90,3,2004,1537.0,1390.7,7.67
43,1,2011,2702.0,1597.0,27.24
43,4,1994,2702.0,1597.0,25.21
14,9,1999,1761.0,119166.69999999998,20.04
27,8,2009,51.0,9013.0,22.63
59,1,1996,282.0,26.51,27.64
43,1,2002,2702.0,1597.0,27.5
23,8,2010,1113.0,1540.0,10.0
62,3,2000,758.0,34468.93,19.29
14,7,1990,1761.0,49695.0,25.76
72,3,1990,1414.0,1183.0,4.55
14,5,1997,1761.0,110276.11,25.96
14,9,1990,1761.0,49695.0,25.76
39,3,2005,1440.0,27.85,27.35
48,3,2008,1668.0,58750.0,15.96
10,3,2010,2666.0,13283.72,26.65
43,1,2001,2702.0,1597.0,25.43
14,7,2012,1761.0,119166.69999999998,21.02
48,1,2002,1668.0,70262.54,16.0
84,7,2002,495.0,26857.0,15.88
86,1,2007,1712.0,1439.8,26.57
42,1,1999,1083.0,46195.0,25.78
42,1,2006,1083.0,37423.0,26.37
7,5,1995,447.0,148.68,12.81
73,1,2005,494.0,7914.31,22.8
64,3,2007,346.0,13697.0,17.93
52,3,2007,661.0,1816.0,20.04
86,6,2012,1712.0,1112.8,26.88
14,9,1998,1761.0,118930.56,22.35
48,4,2010,1668.0,55576.0,15.8
43,3,2005,2702.0,1597.0,27.48
73,6,2004,494.0,8903.48,25.55
14,4,1993,1761.0,75658.33,18.69
68,3,2012,778.0,11348.39,10.08
65,0,2001,1032.0,26.05,21.94
60,3,2002,92.0,3.2,27.84
73,6,1993,494.0,4945.0,18.91
19,8,1999,537.0,44293.0,7.75
94,5,2010,593.0,38554.69,19.27
43,0,2010,2702.0,1597.0,27.46
14,4,1997,1761.0,110276.11,24.71
58,1,2011,2875.0,41562.16,27.27
43,1,2004,2702.0,1597.0,25.67
84,1,1994,495.0,16582.0,20.65
73,6,1996,494.0,11955.0,22.61
18,3,1997,1604.0,630.12,24.98
42,0,1995,1083.0,61257.0,26.01
42,1,2002,1083.0,42482.56,26.7
42,3,1990,1083.0,75000.0,25.79
46,4,1990,832.0,100596.4,12.83
42,6,2011,1083.0,55540.0,26.0
34,1,2005,1187.0,166.16,27.06
3,8,2005,591.0,65437.73,17.83
42,4,1993,1083.0,66388.0,25.27
62,3,1993,758.0,34468.93,19.56
41,4,1992,589.0,5777.0,11.01
14,8,2010,1761.0,119166.69999999998,28.18
62,7,2006,758.0,50891.95,21.5
64,8,2006,346.0,13697.0,18.38
22,4,1991,3240.0,16817.0,27.3
42,8,1997,1083.0,52279.0,26.19
40,5,2010,1976.0,5736.63,24.49
73,4,1990,494.0,5299.0,23.14
75,2,1993,1738.0,3134.0,17.56
5,1,2000,534.0,33475.0,14.32
3,6,1999,591.0,62831.39,17.15
52,1,2011,661.0,1816.0,19.67
62,7,1999,758.0,34468.93,16.18
19,1,2001,537.0,38456.0,7.77
39,1,1995,1440.0,12.32,27.3
42,3,1999,1083.0,46195.0,26.85
90,1,2002,1537.0,1526.6,8.42
46,7,1995,832.0,84153.0,7.43
42,3,2005,1083.0,35342.0,26.83
14,3,1993,1761.0,75658.33,20.49
62,6,2001,758.0,31373.3,20.15
84,8,1991,495.0,16582.0,18.86
92,6,2009,1622.0,67933.0,27.79
19,3,1999,537.0,44293.0,6.71
57,4,2012,1181.0,775.83,20.42
42,3,2006,1083.0,37423.0,25.78
36,5,1997,1996.0,11419.53,20.16
62,0,1990,758.0,34468.93,22.63
74,4,1998,3142.0,105.0,26.05
42,5,1992,1083.0,70791.0,25.73
73,4,1997,494.0,16936.0,22.14
42,0,2008,1083.0,14485.33,25.35
1,4,2006,89.0,4110.72,18.13
56,4,2008,1513.0,112.11,19.79
43,0,1994,2702.0,1597.0,27.34
27,3,1993,51.0,4175.0,21.79
14,9,1993,1761.0,75658.33,17.93
46,1,2006,832.0,74349.0,8.15
95,6,2004,1180.0,88.0,24.02
75,6,2011,1738.0,15436.91,17.03
32,4,1997,867.0,109792.0,11.59
26,2,1993,2274.0,1844.0,21.86
44,1,2013,216.0,2162.6,21.77
77,3,1998,854.0,14389.0,16.4
13,8,2004,416.0,17.0,19.41
14,1,1996,1761.0,101621.67,21.56
42,8,2002,1083.0,42482.56,27.35
76,3,1990,600.0,5422.0,9.2
42,8,2004,1083.0,35113.0,26.41
62,4,1997,758.0,34468.93,19.65
48,7,2000,1668.0,79821.18,13.5
84,7,2013,495.0,26857.0,18.0
48,6,2012,1668.0,54716.4,13.11
42,1,1991,1083.0,72133.0,25.4
5,3,2009,534.0,38065.68,19.01
5,8,2002,534.0,26651.0,20.38
27,7,2006,51.0,9781.0,21.15
42,1,2010,1083.0,40093.69,25.75
62,5,2011,758.0,65961.1,25.28
16,3,2005,748.0,92.21,29.18
19,8,2013,537.0,81659.8,7.08
14,8,1996,1761.0,101621.67,25.45
52,1,1995,661.0,1221.0,19.35
2,7,1998,1010.0,40.0,24.96
42,5,2009,1083.0,28707.01,28.03
75,6,1991,1738.0,3134.0,17.15
64,8,2000,346.0,13435.43,18.16
27,6,2001,51.0,5039.0,21.45
19,1,2010,537.0,61050.0,8.33
92,8,2002,1622.0,40925.33,27.98
42,0,2006,1083.0,37423.0,25.85
75,5,1991,1738.0,3134.0,17.15
73,3,1997,494.0,16936.0,23.76
91,5,1992,691.0,2280.0,7.9
80,8,2010,1212.0,953.85,20.12
18,4,2007,1604.0,918.88,25.49
42,4,2000,1083.0,44957.52,26.49
42,5,1993,1083.0,66388.0,25.75
100,0,2004,657.0,3094.08,20.31
98,8,1993,1300.0,1634.02,16.81
48,8,2007,1668.0,61164.07,16.55
72,3,2000,1414.0,348.24,4.52
25,1,1995,1410.0,3449.0,26.82
10,7,1993,2666.0,1487.0,25.73
42,3,2005,1083.0,35342.0,27.49
48,4,2011,1668.0,51796.3,15.62
0,1,2010,1485.0,1311.17,16.52
92,4,1994,1622.0,20448.0,27.76
48,7,1997,1668.0,79821.18,15.76
38,1,2013,2387.0,358.72,27.3
14,0,1997,1761.0,110276.11,24.71
88,2,1995,2331.0,169.0,27.33
16,0,1990,748.0,29.1,28.77
62,1,2001,758.0,31373.3,22.6
100,5,2008,657.0,3234.81,20.68
42,6,1998,1083.0,49157.0,24.84
42,5,1996,1083.0,56114.0,25.9
23,1,1995,1113.0,3418.0,10.14
48,6,2006,1668.0,65248.26,15.92
73,7,1998,494.0,18406.0,23.11
18,9,1990,1604.0,450.01,25.08
73,6,1998,494.0,18406.0,23.11
42,0,2006,1083.0,37423.0,26.39
27,7,2000,51.0,4931.0,20.74
6,1,2005,1110.0,3404.0,8.6
84,6,2001,495.0,26857.0,21.25
62,0,1991,758.0,34468.93,22.5
42,6,1995,1083.0,61257.0,26.04
73,7,1990,494.0,5299.0,26.39
14,8,1994,1761.0,84312.78,27.53
73,5,2000,494.0,27885.0,25.32
62,0,1994,758.0,34468.93,21.46
5,1,2000,534.0,33475.0,17.57
73,3,2013,494.0,0.92,24.27
42,8,2010,1083.0,40093.69,25.71
36,4,2001,1996.0,10023.42,19.62
90,8,2000,1537.0,1576.9,8.54
42,8,1997,1083.0,52279.0,25.68
3,8,1992,591.0,26156.0,17.51
50,6,2008,630.0,1578.0,16.66
96,1,2004,565.0,15344.4,8.32
28,5,2001,1784.0,2543.7,25.92
60,3,1993,92.0,39.09,27.37
92,8,1999,1622.0,22761.0,27.34
42,1,2007,1083.0,27422.77,26.0
86,5,2009,1712.0,1170.36,26.67
5,1,1990,534.0,17866.0,20.06
42,8,2011,1083.0,55540.0,25.06
42,3,2002,1083.0,42482.56,26.12
14,0,1998,1761.0,118930.56,18.49
48,7,1996,1668.0,79821.18,15.32
41,8,1992,589.0,5777.0,11.01
48,1,2010,1668.0,55576.0,16.01
14,9,1995,1761.0,92967.22,22.07
28,3,2008,1784.0,3899.48,25.71
42,4,2000,1083.0,44957.52,27.03
71,0,2006,151.0,21.12,29.78
73,5,1992,494.0,5518.0,22.36
42,3,2006,1083.0,37423.0,25.85
19,1,2010,537.0,61050.0,8.64
42,8,2013,1083.0,45620.0,26.79
30,3,1992,626.0,469.0,6.51
3,0,2012,591.0,119166.69999999998,18.43
14,8,1996,1761.0,101621.67,27.07
62,8,2005,758.0,51741.99,25.18
19,8,2010,537.0,61050.0,8.64
52,5,2012,661.0,1816.0,20.19
44,4,1999,216.0,508.0,20.85
54,3,1990,56.0,87.0,19.6
51,3,2007,641.0,1113.49,7.25
7,3,2002,447.0,148.68,12.45
27,1,2008,51.0,9527.0,21.74
33,6,1999,700.0,30019.0,10.02
95,3,2010,1180.0,88.0,24.14
42,0,1990,1083.0,75000.0,25.68
14,6,2000,1761.0,119166.69999999998,20.32
42,6,2001,1083.0,43720.04,24.5
42,4,2002,1083.0,42482.56,26.15
59,4,2002,282.0,13.13,28.18
14,7,1990,1761.0,49695.0,21.88
39,5,2000,1440.0,27.85,26.76
62,6,2011,758.0,65961.1,23.55
42,5,1994,1083.0,61357.0,25.71
84,5,2009,495.0,26857.0,18.67
14,9,1995,1761.0,92967.22,18.27
35,3,2009,652.0,3404.4,18.52
28,4,2000,1784.0,2698.93,25.78
22,9,2013,3240.0,54563.38,22.85
88,2,2009,2331.0,2191.37,27.45
43,1,2006,2702.0,1597.0,27.55
42,0,2010,1083.0,40093.69,26.67
62,5,1996,758.0,34468.93,22.91
6,3,2009,1110.0,3531.8,9.48
81,5,2002,59.0,3364.86,26.44
43,1,1997,2702.0,1597.0,25.52
10,8,1998,2666.0,2068.0,26.13
42,3,2011,1083.0,55540.0,25.72
73,5,1992,494.0,5518.0,22.36
5,6,2001,534.0,32710.0,18.39
27,6,1990,51.0,13214.0,20.73
60,1,1994,92.0,39.09,27.24
14,4,1992,1761.0,67003.89,25.61
73,6,2002,494.0,10881.83,23.83
38,4,1998,2387.0,289.9,27.71
74,9,2010,3142.0,105.0,25.74
29,5,2009,383.0,27.63,25.3
62,8,1993,758.0,34468.93,22.11
84,4,2000,495.0,26857.0,15.13
95,6,1999,1180.0,88.0,23.52
49,5,1993,250.0,17182.0,5.51
48,9,1995,1668.0,79821.18,15.25
28,0,1991,1784.0,4096.0,26.08
42,7,1997,1083.0,52279.0,25.58
44,8,1992,216.0,692.0,21.52
49,4,1998,250.0,6416.14,6.94
84,4,2012,495.0,26857.0,15.89
94,8,1992,593.0,27110.0,10.77
88,4,1992,2331.0,197.5,27.04
48,1,1994,1668.0,79821.18,13.78
17,5,1992,1274.0,92.08,21.31
64,3,1997,346.0,12214.0,18.65
62,3,2011,758.0,65961.1,21.55
62,3,2002,758.0,16189.88,25.07
61,3,1998,2041.0,536.45,24.41
42,3,2013,1083.0,45620.0,26.69
97,8,2006,1220.0,22588.09,10.02
85,1,2010,636.0,39043.0,12.01
5,1,2006,534.0,35900.0,17.75
42,4,2013,1083.0,45620.0,25.44
42,1,2008,1083.0,14485.33,26.52
19,8,2001,537.0,38456.0,7.77
42,3,1994,1083.0,61357.0,24.84
81,1,1994,59.0,994.0,26.26
19,6,2005,537.0,36363.0,5.95
6,8,2005,1110.0,3404.0,8.6
64,6,1993,346.0,10585.43,16.94
42,1,2008,1083.0,14485.33,24.51
59,4,1996,282.0,26.51,27.64
54,8,2005,56.0,8314.0,20.28
42,1,2002,1083.0,42482.56,24.91
48,8,1998,1668.0,79821.18,13.74
49,1,1996,250.0,13047.0,1.61
42,0,1996,1083.0,56114.0,25.55
5,7,2006,534.0,35900.0,18.99
61,3,2007,2041.0,644.12,24.28
14,9,1996,1761.0,101621.67,24.28
75,2,2005,1738.0,10227.74,17.02
5,3,1995,534.0,25598.0,11.39
14,3,2000,1761.0,119166.69999999998,20.32
90,8,1990,1537.0,2282.0,8.19
5,7,1998,534.0,37215.0,16.28
54,8,1996,56.0,87.0,19.24
44,8,1991,216.0,692.0,23.21
43,6,2002,2702.0,1597.0,27.01
42,5,2006,1083.0,37423.0,25.31
42,3,1998,1083.0,49157.0,27.48
48,1,1998,1668.0,79821.18,13.74
48,7,1995,1668.0,79821.18,15.32
34,7,2004,1187.0,134.25,27.02
39,3,2002,1440.0,27.85,27.42
51,8,2004,641.0,594.46,6.28
26,2,2007,2274.0,14156.16,21.99
25,7,2012,1410.0,6316.61,26.87
62,4,2004,758.0,26433.14,16.84
