unnamed:_0,area,item,year,yield_hg_ha,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
162,1,8,2002,10739,89.0,816.55,17.85
163,1,1,2004,31729,89.0,3747.86,17.38
164,1,3,2004,203585,89.0,3747.86,17.38
165,1,4,2004,12829,89.0,3747.86,17.38
166,1,5,2004,43316,89.0,3747.86,17.38
167,1,8,2004,13582,89.0,3747.86,17.38
168,1,1,2005,33864,89.0,3662.87,17.19
169,1,3,2005,216267,89.0,3662.87,17.19
170,1,4,2005,12998,89.0,3662.87,17.19
171,1,5,2005,33486,89.0,3662.87,17.19
172,1,8,2005,15057,89.0,3662.87,17.19
173,1,1,2006,65668,89.0,4110.72,18.13
174,1,3,2006,220689,89.0,4110.72,18.13
175,1,4,2006,12769,89.0,4110.72,18.13
176,1,5,2006,56728,89.0,4110.72,18.13
177,1,8,2006,15068,89.0,4110.72,18.13
178,1,1,2007,85625,89.0,5390.79,17.42
179,1,3,2007,189927,89.0,5390.79,17.42
180,1,4,2007,13375,89.0,5390.79,17.42
181,1,5,2007,119059,89.0,5390.79,17.42
182,1,8,2007,12742,89.0,5390.79,17.42
183,1,1,2008,44714,89.0,11556.12,17.55
184,1,3,2008,236393,89.0,11556.12,17.55
185,1,4,2008,13952,89.0,11556.12,17.55
186,1,5,2008,61786,89.0,11556.12,17.55
187,1,8,2008,11038,89.0,11556.12,17.55
188,1,1,2009,30914,89.0,3867.99,17.78
189,1,3,2009,250764,89.0,3867.99,17.78
190,1,4,2009,14594,89.0,3867.99,17.78
191,1,5,2009,90465,89.0,3867.99,17.78
192,1,8,2009,15975,89.0,3867.99,17.78
193,1,1,2010,25827,89.0,1295.88,17.59
194,1,3,2010,270526,89.0,1295.88,17.59
195,1,4,2010,15305,89.0,1295.88,17.59
196,1,5,2010,30286,89.0,1295.88,17.59
197,1,8,2010,14838,89.0,1295.88,17.59
198,1,1,2011,23374,89.0,13861.76,17.79
199,1,3,2011,292806,89.0,13861.76,17.79
200,1,4,2011,16081,89.0,13861.76,17.79
201,1,5,2011,100000,89.0,13861.76,17.79
202,1,8,2011,17405,89.0,13861.76,17.79
203,1,1,2012,25583,89.0,17379.76,17.91
204,1,3,2012,304291,89.0,17379.76,17.91
205,1,4,2012,16667,89.0,17379.76,17.91
206,1,5,2012,206000,89.0,17379.76,17.91
207,1,8,2012,17639,89.0,17379.76,17.91
208,1,1,2013,33649,89.0,17278.65,17.65
209,1,3,2013,303218,89.0,17278.65,17.65
210,1,4,2013,17778,89.0,17278.65,17.65
211,1,5,2013,60000,89.0,17278.65,17.65
212,1,8,2013,19100,89.0,17278.65,17.65
213,2,0,1990,41177,1010.0,64.0,24.12
214,2,1,1990,2736,1010.0,64.0,24.12
215,2,3,1990,40000,1010.0,64.0,24.12
216,2,4,1990,9512,1010.0,64.0,24.12
217,2,7,1990,89342,1010.0,64.0,24.12
218,2,8,1990,7995,1010.0,64.0,24.12
219,2,0,1991,40295,1010.0,79.0,24.02
220,2,1,1991,4013,1010.0,79.0,24.02
221,2,3,1991,40000,1010.0,79.0,24.02
222,2,4,1991,10000,1010.0,79.0,24.02
223,2,7,1991,83001,1010.0,79.0,24.02
224,2,8,1991,8000,1010.0,79.0,24.02
225,2,0,1992,42295,1010.0,23.0,23.96
226,2,1,1992,3778,1010.0,23.0,23.96
227,2,3,1992,40000,1010.0,23.0,23.96
228,2,4,1992,9106,1010.0,23.0,23.96
229,2,7,1992,90000,1010.0,23.0,23.96
230,2,8,1992,8000,1010.0,23.0,23.96
231,2,0,1993,42295,1010.0,169.0,24.15
232,2,1,1993,2627,1010.0,169.0,24.15
233,2,3,1993,70000,1010.0,169.0,24.15
234,2,4,1993,8000,1010.0,169.0,24.15
235,2,7,1993,88095,1010.0,169.0,24.15
236,2,8,1993,8876,1010.0,169.0,24.15
237,2,0,1994,58596,1010.0,25.5,24.04
238,2,1,1994,2463,1010.0,25.5,24.04
239,2,3,1994,90000,1010.0,25.5,24.04
240,2,4,1994,8750,1010.0,25.5,24.04
241,2,7,1994,83192,1010.0,25.5,24.04
242,2,8,1994,10000,1010.0,25.5,24.04
243,2,0,1995,51000,1010.0,336.0,24.56
244,2,1,1995,3517,1010.0,336.0,24.56
245,2,3,1995,76738,1010.0,336.0,24.56
246,2,4,1995,14615,1010.0,336.0,24.56
247,2,7,1995,81138,1010.0,336.0,24.56
248,2,8,1995,11855,1010.0,336.0,24.56
249,2,0,1996,48077,1010.0,40.0,24.11
250,2,1,1996,6993,1010.0,40.0,24.11
251,2,3,1996,70000,1010.0,40.0,24.11
252,2,4,1996,17500,1010.0,40.0,24.11
253,2,7,1996,85455,1010.0,40.0,24.11
254,2,8,1996,13738,1010.0,40.0,24.11
255,2,0,1997,44205,1010.0,40.0,24.06
256,2,1,1997,5959,1010.0,40.0,24.06
257,2,3,1997,68571,1010.0,40.0,24.06
258,2,4,1997,20000,1010.0,40.0,24.06
259,2,7,1997,78098,1010.0,40.0,24.06
260,2,8,1997,15509,1010.0,40.0,24.06
261,2,0,1998,55728,1010.0,40.0,24.96
262,2,1,1998,7396,1010.0,40.0,24.96
263,2,3,1998,62724,1010.0,40.0,24.96
264,2,4,1998,20000,1010.0,40.0,24.96
265,2,7,1998,76256,1010.0,40.0,24.96
266,2,8,1998,17143,1010.0,40.0,24.96
267,2,0,1999,59821,1010.0,40.0,24.37
268,2,1,1999,6361,1010.0,40.0,24.37
269,2,3,1999,54597,1010.0,40.0,24.37
270,2,4,1999,14235,1010.0,40.0,24.37
271,2,7,1999,82865,1010.0,40.0,24.37
272,2,8,1999,17391,1010.0,40.0,24.37
273,2,0,2000,82992,1010.0,40.0,24.41
274,2,1,2000,5745,1010.0,40.0,24.41
275,2,3,2000,29885,1010.0,40.0,24.41
276,2,4,2000,13454,1010.0,40.0,24.41
277,2,5,2000,3333,1010.0,40.0,24.41
278,2,6,2000,2333,1010.0,40.0,24.41
279,2,7,2000,34938,1010.0,40.0,24.41
280,2,8,2000,17023,1010.0,40.0,24.41
281,2,0,2001,94072,1010.0,40.0,24.43
282,2,1,2001,5754,1010.0,40.0,24.43
283,2,3,2001,42552,1010.0,40.0,24.43
284,2,4,2001,13701,1010.0,40.0,24.43
285,2,5,2001,3571,1010.0,40.0,24.43
286,2,6,2001,2500,1010.0,40.0,24.43
287,2,7,2001,44458,1010.0,40.0,24.43
288,2,8,2001,16667,1010.0,40.0,24.43
289,2,0,2002,110071,1010.0,40.0,24.79
290,2,1,2002,6706,1010.0,40.0,24.79
291,2,3,2002,42754,1010.0,40.0,24.79
292,2,4,2002,13198,1010.0,40.0,24.79
293,2,5,2002,3400,1010.0,40.0,24.79
294,2,6,2002,2857,1010.0,40.0,24.79
295,2,7,2002,42190,1010.0,40.0,24.79
296,2,8,2002,15455,1010.0,40.0,24.79
297,2,0,2004,125605,1010.0,40.0,24.22
298,2,1,2004,5404,1010.0,40.0,24.22
299,2,3,2004,20150,1010.0,40.0,24.22
300,2,4,2004,11584,1010.0,40.0,24.22
301,2,5,2004,3333,1010.0,40.0,24.22
302,2,6,2004,3600,1010.0,40.0,24.22
303,2,7,2004,45360,1010.0,40.0,24.22
304,2,8,2004,12442,1010.0,40.0,24.22
305,2,0,2005,117628,1010.0,40.0,24.41
306,2,1,2005,6736,1010.0,40.0,24.41
307,2,3,2005,23646,1010.0,40.0,24.41
308,2,4,2005,6977,1010.0,40.0,24.41
309,2,5,2005,3333,1010.0,40.0,24.41
310,2,6,2005,3793,1010.0,40.0,24.41
311,2,7,2005,46159,1010.0,40.0,24.41
312,2,8,2005,10946,1010.0,40.0,24.41
313,2,0,2006,117201,1010.0,40.0,24.14
314,2,1,2006,4687,1010.0,40.0,24.14
315,2,3,2006,52148,1010.0,40.0,24.14
316,2,4,2006,4947,1010.0,40.0,24.14
317,2,5,2006,4091,1010.0,40.0,24.14
318,2,6,2006,4286,1010.0,40.0,24.14
319,2,7,2006,44240,1010.0,40.0,24.14
320,2,8,2006,10000,1010.0,40.0,24.14
321,2,0,2007,115387,1010.0,40.0,24.24
322,2,1,2007,5091,1010.0,40.0,24.24
323,2,3,2007,62138,1010.0,40.0,24.24
324,2,4,2007,5143,1010.0,40.0,24.24
325,2,5,2007,4031,1010.0,40.0,24.24
326,2,6,2007,6883,1010.0,40.0,24.24
327,2,7,2007,58855,1010.0,40.0,24.24
328,2,8,2007,10000,1010.0,40.0,24.24
329,2,0,2008,148084,1010.0,40.0,24.27
330,2,1,2008,7946,1010.0,40.0,24.27
331,2,3,2008,85085,1010.0,40.0,24.27
332,2,4,2008,5084,1010.0,40.0,24.27
333,2,5,2008,929,1010.0,40.0,24.27
334,2,6,2008,8575,1010.0,40.0,24.27
335,2,7,2008,65437,1010.0,40.0,24.27
336,2,8,2008,10000,1010.0,40.0,24.27
337,2,0,2009,151759,1010.0,40.0,24.33
338,2,1,2009,6614,1010.0,40.0,24.33
339,2,3,2009,86509,1010.0,40.0,24.33
340,2,4,2009,6028,1010.0,40.0,24.33
341,2,5,2009,2480,1010.0,40.0,24.33
342,2,6,2009,4449,1010.0,40.0,24.33
343,2,7,2009,66475,1010.0,40.0,24.33
344,2,8,2009,10000,1010.0,40.0,24.33
345,2,0,2010,155782,1010.0,40.0,24.44
346,2,1,2010,7200,1010.0,40.0,24.44
347,2,3,2010,87425,1010.0,40.0,24.44
348,2,4,2010,7403,1010.0,40.0,24.44
349,2,5,2010,2814,1010.0,40.0,24.44
350,2,6,2010,4446,1010.0,40.0,24.44
351,2,7,2010,63001,1010.0,40.0,24.44
352,2,8,2010,10526,1010.0,40.0,24.44
353,2,0,2011,133649,1010.0,40.0,24.15
354,2,1,2011,7376,1010.0,40.0,24.15
355,2,3,2011,81366,1010.0,40.0,24.15
356,2,4,2011,8914,1010.0,40.0,24.15
357,2,5,2011,3320,1010.0,40.0,24.15
358,2,6,2011,5294,1010.0,40.0,24.15
359,2,7,2011,65512,1010.0,40.0,24.15
360,2,8,2011,10959,1010.0,40.0,24.15
361,2,0,2012,100073,1010.0,40.0,24.24
362,2,1,2012,7770,1010.0,40.0,24.24
363,2,3,2012,69381,1010.0,40.0,24.24
364,2,4,2012,7703,1010.0,40.0,24.24
365,2,5,2012,998,1010.0,40.0,24.24
366,2,6,2012,1641,1010.0,40.0,24.24
367,2,7,2012,52954,1010.0,40.0,24.24
368,2,8,2012,11258,1010.0,40.0,24.24
369,2,0,2013,140517,1010.0,40.0,24.55
370,2,1,2013,9467,1010.0,40.0,24.55
371,2,3,2013,63303,1010.0,40.0,24.55
372,2,4,2013,12744,1010.0,40.0,24.55
373,2,5,2013,2415,1010.0,40.0,24.55
374,2,6,2013,4405,1010.0,40.0,24.55
375,2,7,2013,73409,1010.0,40.0,24.55
376,2,8,2013,9022,1010.0,40.0,24.55
377,3,0,1990,100000,591.0,26156.0,17.46
378,3,0,1990,100000,591.0,26156.0,17.67
379,3,1,1990,34608,591.0,26156.0,17.46
380,3,1,1990,34608,591.0,26156.0,17.67
381,3,3,1990,202747,591.0,26156.0,17.46
382,3,3,1990,202747,591.0,26156.0,17.67
383,3,4,1990,36709,591.0,26156.0,17.46
384,3,4,1990,36709,591.0,26156.0,17.67
385,3,5,1990,28116,591.0,26156.0,17.46
386,3,5,1990,28116,591.0,26156.0,17.67
387,3,6,1990,21566,591.0,26156.0,17.46
388,3,6,1990,21566,591.0,26156.0,17.67
389,3,7,1990,131864,591.0,26156.0,17.46
390,3,7,1990,131864,591.0,26156.0,17.67
391,3,8,1990,18947,591.0,26156.0,17.46
392,3,8,1990,18947,591.0,26156.0,17.67
393,3,0,1991,100000,591.0,26156.0,17.64
394,3,0,1991,100000,591.0,26156.0,17.86
395,3,1,1991,40444,591.0,26156.0,17.64
396,3,1,1991,40444,591.0,26156.0,17.86
397,3,3,1991,205692,591.0,26156.0,17.64
398,3,3,1991,205692,591.0,26156.0,17.86
399,3,4,1991,40294,591.0,26156.0,17.64
400,3,4,1991,40294,591.0,26156.0,17.86
401,3,5,1991,33320,591.0,26156.0,17.64
402,3,5,1991,33320,591.0,26156.0,17.86
403,3,6,1991,22750,591.0,26156.0,17.64
404,3,6,1991,22750,591.0,26156.0,17.86
405,3,7,1991,131364,591.0,26156.0,17.64
406,3,7,1991,131364,591.0,26156.0,17.86
407,3,8,1991,18972,591.0,26156.0,17.64
408,3,8,1991,18972,591.0,26156.0,17.86
409,3,0,1992,100000,591.0,26156.0,17.09
410,3,0,1992,100000,591.0,26156.0,17.51
411,3,1,1992,45237,591.0,26156.0,17.09
412,3,1,1992,45237,591.0,26156.0,17.51
413,3,3,1992,199039,591.0,26156.0,17.09
414,3,3,1992,199039,591.0,26156.0,17.51
415,3,4,1992,52075,591.0,26156.0,17.09
416,3,4,1992,52075,591.0,26156.0,17.51
417,3,5,1992,36217,591.0,26156.0,17.09
418,3,5,1992,36217,591.0,26156.0,17.51
419,3,6,1992,22915,591.0,26156.0,17.09
420,3,6,1992,22915,591.0,26156.0,17.51
421,3,7,1992,127273,591.0,26156.0,17.09
422,3,7,1992,127273,591.0,26156.0,17.51
423,3,8,1992,21809,591.0,26156.0,17.09
424,3,8,1992,21809,591.0,26156.0,17.51
425,3,0,1993,100000,591.0,26156.0,17.32
426,3,0,1993,100000,591.0,26156.0,17.53
427,3,1,1993,43552,591.0,26156.0,17.32
428,3,1,1993,43552,591.0,26156.0,17.53
429,3,3,1993,210314,591.0,26156.0,17.32
430,3,3,1993,210314,591.0,26156.0,17.53
431,3,4,1993,43559,591.0,26156.0,17.32
432,3,4,1993,43559,591.0,26156.0,17.53
433,3,5,1993,39529,591.0,26156.0,17.32
434,3,5,1993,39529,591.0,26156.0,17.53
435,3,6,1993,21589,591.0,26156.0,17.32
436,3,6,1993,21589,591.0,26156.0,17.53
437,3,7,1993,122955,591.0,26156.0,17.32
438,3,7,1993,122955,591.0,26156.0,17.53
439,3,8,1993,23272,591.0,26156.0,17.32
440,3,8,1993,23272,591.0,26156.0,17.53
441,3,0,1994,100000,591.0,30195.0,18.17
442,3,0,1994,100000,591.0,30195.0,18.31
443,3,1,1994,42371,591.0,30195.0,18.17
444,3,1,1994,42371,591.0,30195.0,18.31
445,3,3,1994,230166,591.0,30195.0,18.17
446,3,3,1994,230166,591.0,30195.0,18.31
447,3,4,1994,42989,591.0,30195.0,18.17
448,3,4,1994,42989,591.0,30195.0,18.31
449,3,5,1994,35065,591.0,30195.0,18.17
450,3,5,1994,35065,591.0,30195.0,18.31
451,3,6,1994,20386,591.0,30195.0,18.17
452,3,6,1994,20386,591.0,30195.0,18.31
453,3,7,1994,176667,591.0,30195.0,18.17
454,3,7,1994,176667,591.0,30195.0,18.31
455,3,8,1994,20237,591.0,30195.0,18.17
456,3,8,1994,20237,591.0,30195.0,18.31
457,3,0,1995,100000,591.0,37842.0,17.74
458,3,0,1995,100000,591.0,37842.0,17.62
459,3,1,1995,45223,591.0,37842.0,17.74
460,3,1,1995,45223,591.0,37842.0,17.62
461,3,3,1995,274272,591.0,37842.0,17.74
462,3,3,1995,274272,591.0,37842.0,17.62
463,3,4,1995,50306,591.0,37842.0,17.74
464,3,4,1995,50306,591.0,37842.0,17.62
465,3,5,1995,34588,591.0,37842.0,17.74
466,3,5,1995,34588,591.0,37842.0,17.62
467,3,6,1995,20446,591.0,37842.0,17.74
468,3,6,1995,20446,591.0,37842.0,17.62
469,3,7,1995,168000,591.0,37842.0,17.74
470,3,7,1995,168000,591.0,37842.0,17.62
471,3,8,1995,21675,591.0,37842.0,17.74
472,3,8,1995,21675,591.0,37842.0,17.62
473,3,0,1996,100000,591.0,54595.0,17.64
474,3,0,1996,100000,591.0,54595.0,17.97
475,3,1,1996,40397,591.0,54595.0,17.64
476,3,1,1996,40397,591.0,54595.0,17.97
477,3,3,1996,228877,591.0,54595.0,17.64
478,3,3,1996,228877,591.0,54595.0,17.97
479,3,4,1996,51031,591.0,54595.0,17.64
480,3,4,1996,51031,591.0,54595.0,17.97
481,3,5,1996,38763,591.0,54595.0,17.64
482,3,5,1996,38763,591.0,54595.0,17.97
483,3,6,1996,21051,591.0,54595.0,17.64
484,3,6,1996,21051,591.0,54595.0,17.97
485,3,7,1996,170000,591.0,54595.0,17.64
486,3,7,1996,170000,591.0,54595.0,17.97
487,3,8,1996,19344,591.0,54595.0,17.64
488,3,8,1996,19344,591.0,54595.0,17.97
489,3,0,1997,100000,591.0,77691.0,18.29
490,3,0,1997,100000,591.0,77691.0,18.54
491,3,1,1997,45557,591.0,77691.0,18.29
492,3,1,1997,45557,591.0,77691.0,18.54
493,3,3,1997,268502,591.0,77691.0,18.29
494,3,3,1997,268502,591.0,77691.0,18.54
495,3,4,1997,53703,591.0,77691.0,18.29
496,3,4,1997,53703,591.0,77691.0,18.54
497,3,5,1997,36845,591.0,77691.0,18.29
498,3,5,1997,36845,591.0,77691.0,18.54
499,3,6,1997,17212,591.0,77691.0,18.29
500,3,6,1997,17212,591.0,77691.0,18.54
501,3,7,1997,145662,591.0,77691.0,18.29
502,3,7,1997,145662,591.0,77691.0,18.54
503,3,8,1997,22426,591.0,77691.0,18.29
504,3,8,1997,22426,591.0,77691.0,18.54
505,3,0,1998,100000,591.0,62397.0,17.23
506,3,0,1998,100000,591.0,62397.0,17.52
507,3,1,1998,60780,591.0,62397.0,17.23
508,3,1,1998,60780,591.0,62397.0,17.52
509,3,3,1998,293744,591.0,62397.0,17.23
510,3,3,1998,293744,591.0,62397.0,17.52
511,3,4,1998,47762,591.0,62397.0,17.23
512,3,4,1998,47762,591.0,62397.0,17.52
513,3,5,1998,48105,591.0,62397.0,17.23
514,3,5,1998,48105,591.0,62397.0,17.52
515,3,6,1998,26937,591.0,62397.0,17.23
516,3,6,1998,26937,591.0,62397.0,17.52
517,3,7,1998,175055,591.0,62397.0,17.23
518,3,7,1998,175055,591.0,62397.0,17.52
519,3,8,1998,26088,591.0,62397.0,17.23
520,3,8,1998,26088,591.0,62397.0,17.52
521,3,0,1999,100000,591.0,62831.39,17.15
522,3,0,1999,100000,591.0,62831.39,17.71
523,3,1,1999,53702,591.0,62831.39,17.15
524,3,1,1999,53702,591.0,62831.39,17.71
525,3,3,1999,238938,591.0,62831.39,17.15
526,3,3,1999,238938,591.0,62831.39,17.71
527,3,4,1999,57337,591.0,62831.39,17.15
528,3,4,1999,57337,591.0,62831.39,17.71
529,3,5,1999,43845,591.0,62831.39,17.15
530,3,5,1999,43845,591.0,62831.39,17.71
531,3,6,1999,24450,591.0,62831.39,17.15
532,3,6,1999,24450,591.0,62831.39,17.71
533,3,7,1999,143991,591.0,62831.39,17.15
534,3,7,1999,143991,591.0,62831.39,17.71
535,3,8,1999,23028,591.0,62831.39,17.15
536,3,8,1999,23028,591.0,62831.39,17.71
537,3,0,2000,100000,591.0,63265.78,16.98
538,3,0,2000,100000,591.0,63265.78,17.66
539,3,1,2000,54329,591.0,63265.78,16.98
540,3,1,2000,54329,591.0,63265.78,17.66
541,3,3,2000,277566,591.0,63265.78,16.98
542,3,3,2000,277566,591.0,63265.78,17.66
543,3,4,2000,47798,591.0,63265.78,16.98
544,3,4,2000,47798,591.0,63265.78,17.66
545,3,5,2000,46477,591.0,63265.78,16.98
546,3,5,2000,46477,591.0,63265.78,17.66
547,3,6,2000,23312,591.0,63265.78,16.98
548,3,6,2000,23312,591.0,63265.78,17.66
549,3,7,2000,151462,591.0,63265.78,16.98
550,3,7,2000,151462,591.0,63265.78,17.66
551,3,8,2000,24873,591.0,63265.78,16.98
552,3,8,2000,24873,591.0,63265.78,17.66
553,3,0,2001,100000,591.0,63700.17,17.71
554,3,0,2001,100000,591.0,63700.17,18.42
555,3,1,2001,54553,591.0,63700.17,17.71
